Algorithm,Size,Order,Time(seconds)
Bubble,8000,Random,0.138821
Insertion,8000,Random,0.028282
Selection,8000,Random,0.038148
Quick,8000,Random,0.000826
Merge,8000,Random,0.001122
Heap,8000,Random,0.001659
Bubble,8000,Ascending,0.000009
Insertion,8000,Ascending,0.000017
Selection,8000,Ascending,0.039381
Quick,8000,Ascending,0.112972
Merge,8000,Ascending,0.000896
Heap,8000,Ascending,0.001880
Bubble,8000,Descending,0.105394
Insertion,8000,Descending,0.044675
Selection,8000,Descending,0.038478
Quick,8000,Descending,0.058016
Merge,8000,Descending,0.000782
Heap,8000,Descending,0.001383
Bubble,12000,Random,0.282071
Insertion,12000,Random,0.055081
Selection,12000,Random,0.093434
Quick,12000,Random,0.001171
Merge,12000,Random,0.001497
Heap,12000,Random,0.002542
Bubble,12000,Ascending,0.000014
Insertion,12000,Ascending,0.000024
Selection,12000,Ascending,0.088752
Quick,12000,Ascending,0.195667
Merge,12000,Ascending,0.000719
Heap,12000,Ascending,0.002093
Bubble,12000,Descending,0.239479
Insertion,12000,Descending,0.112097
Selection,12000,Descending,0.085812
Quick,12000,Descending,0.132358
Merge,12000,Descending,0.000724
Heap,12000,Descending,0.002001
Bubble,16000,Random,0.610216
Insertion,16000,Random,0.094304
Selection,16000,Random,0.162682
Quick,16000,Random,0.001674
Merge,16000,Random,0.002489
Heap,16000,Random,0.003538
Bubble,16000,Ascending,0.000018
Insertion,16000,Ascending,0.000030
Selection,16000,Ascending,0.143682
Quick,16000,Ascending,0.415186
Merge,16000,Ascending,0.001703
Heap,16000,Ascending,0.004697
Bubble,16000,Descending,0.459942
Insertion,16000,Descending,0.213994
Selection,16000,Descending,0.165145
Quick,16000,Descending,0.232462
Merge,16000,Descending,0.000965
Heap,16000,Descending,0.002728
Bubble,20000,Random,0.935922
Insertion,20000,Random,0.151218
Selection,20000,Random,0.247402
Quick,20000,Random,0.002819
Merge,20000,Random,0.002744
Heap,20000,Random,0.005488
Bubble,20000,Ascending,0.000022
Insertion,20000,Ascending,0.000039
Selection,20000,Ascending,0.249204
Quick,20000,Ascending,0.557126
Merge,20000,Ascending,0.001288
Heap,20000,Ascending,0.003935
Bubble,20000,Descending,0.679870
Insertion,20000,Descending,0.291569
Selection,20000,Descending,0.240278
Quick,20000,Descending,0.384110
Merge,20000,Descending,0.001589
Heap,20000,Descending,0.003700
Bubble,24000,Random,1.438748
Insertion,24000,Random,0.209467
Selection,24000,Random,0.345255
Quick,24000,Random,0.002787
Merge,24000,Random,0.003461
Heap,24000,Random,0.007683
Bubble,24000,Ascending,0.000027
Insertion,24000,Ascending,0.000046
Selection,24000,Ascending,0.338852
Quick,24000,Ascending,0.794187
Merge,24000,Ascending,0.002061
Heap,24000,Ascending,0.004231
Bubble,24000,Descending,0.942839
Insertion,24000,Descending,0.434620
Selection,24000,Descending,0.344139
Quick,24000,Descending,0.528315
Merge,24000,Descending,0.001537
Heap,24000,Descending,0.004720
Bubble,28000,Random,1.955353
Insertion,28000,Random,0.287500
Selection,28000,Random,0.472394
Quick,28000,Random,0.003185
Merge,28000,Random,0.003768
Heap,28000,Random,0.007220
Bubble,28000,Ascending,0.000040
Insertion,28000,Ascending,0.000054
Selection,28000,Ascending,0.483882
Quick,28000,Ascending,1.105575
Merge,28000,Ascending,0.001792
Heap,28000,Ascending,0.006047
Bubble,28000,Descending,1.330979
Insertion,28000,Descending,0.611781
Selection,28000,Descending,0.473786
Quick,28000,Descending,0.748375
Merge,28000,Descending,0.002233
Heap,28000,Descending,0.004988
Bubble,32000,Random,2.652362
Insertion,32000,Random,0.397274
Selection,32000,Random,0.628561
Quick,32000,Random,0.003383
Merge,32000,Random,0.004408
Heap,32000,Random,0.009157
Bubble,32000,Ascending,0.000036
Insertion,32000,Ascending,0.000073
Selection,32000,Ascending,0.651916
Quick,32000,Ascending,1.528346
Merge,32000,Ascending,0.002092
Heap,32000,Ascending,0.007769
Bubble,32000,Descending,1.741090
Insertion,32000,Descending,0.858715
Selection,32000,Descending,0.649658
Quick,32000,Descending,0.947963
Merge,32000,Descending,0.002015
Heap,32000,Descending,0.006648
Bubble,36000,Random,3.521642
Insertion,36000,Random,0.588121
Selection,36000,Random,0.826684
Quick,36000,Random,0.004312
Merge,36000,Random,0.005130
Heap,36000,Random,0.010331
Bubble,36000,Ascending,0.000063
Insertion,36000,Ascending,0.000155
Selection,36000,Ascending,0.857830
Quick,36000,Ascending,1.906654
Merge,36000,Ascending,0.002542
Heap,36000,Ascending,0.008926
Bubble,36000,Descending,2.272319
Insertion,36000,Descending,0.999062
Selection,36000,Descending,0.827055
Quick,36000,Descending,1.273828
Merge,36000,Descending,0.003309
Heap,36000,Descending,0.010738
